Question No,Question
1,what is CIF (ACCOUNT OPENING FORM FOR RESIDENT INDIVIDUAL)
2,what is CKYC (ACCOUNT OPENING FORM FOR RESIDENT INDIVIDUAL)
3,what is BSBDA (ACCOUNT OPENING FORM FOR RESIDENT INDIVIDUAL)
4,what is FATCA (ACCOUNT OPENING FORM FOR RESIDENT INDIVIDUAL)
5,what is TIN (ACCOUNT OPENING FORM FOR RESIDENT INDIVIDUAL)
6,normal/small/minor account type means what? (ACCOUNT OPENING FORM FOR RESIDENT INDIVIDUAL)
7,what is mode of operation (ACCOUNT OPENING FORM FOR RESIDENT INDIVIDUAL)
8,what are equivalent e-documents (ACCOUNT OPENING FORM FOR RESIDENT INDIVIDUAL)
9,what is facility type - cc (Agriculture Loan Application Form)
10,what is facility type - tl/dl (Agriculture Loan Application Form)
11,what is facility type - od
12,what are sourcing entities - branch/rmru/fsto (Agriculture Loan Application Form)
13,what are sourcing entities - dsa/dse/sboss/ba (Agriculture Loan Application Form)
14,how to categorize asset as movable/immovable/liquid (Agriculture Loan Application Form)
15,what is primary vs collateral security (Agriculture Loan Application Form)
16,difference between individual and non-individual form (Agriculture Loan Application Form)
17,what qualifies as a tie-up which has to be mentioned (Agriculture Loan Application Form)
18,what is rlms application no. (auto loan application)
19,what is sourcing entity type - branch/mpst (auto loan application)
20,what is sourcing entity type - ssl (auto loan application)
21,what is sourcing entity type - dealer (auto loan application)
22,what is sourcing entity type - alc (auto loan application)
23,is passport compulsory (auto loan application)
24,what is NACH repayment mode (auto loan application)
25,what is exim registration code (Application form for msme loans (business loan))
26,what is urc
27,what is ZED rated meaning (Application form for msme loans (business loan))
28,what is type of facility cash credit (Application form for msme loans (business loan))
29,what is type of facility term loan (Application form for msme loans (business loan))
30,what is type of facility LC/BG (Application form for msme loans (business loan))
31,what are proforma invoices (Application form for msme loans (business loan))
32,what are BIS/FPO/ISO specifications and for what kind of businesses should the be follwed (Application form for msme loans (business loan))
33,what are BIS/FPO/ISO specifications and for what kind of businesses should the be follwed (Application form for msme loans (business loan))
34,what are BIS/FPO/ISO specifications and for what kind of businesses should the be follwed (Application form for msme loans (business loan))
35,what are kishor/tarun categories (PMMY Loan application)
36,what is shishu category (PMMY Loan application)
37,how to select business type (PMMY Loan application)
38,will there be penalties if predictions are not met (PMMY Loan application)
39,what is form 16 (personal loan application form)
40,for whom is form 16 mandatory (personal loan application form)
41,what is DSP-PMSP-ICGSP (personal loan application form)
42,what is LOS (personal loan application form)
43,what is LMS/OCAS (personal loan application form)
44,what is repayment mode - PDCs (personal loan application form)
45,what is repayment mode - ECS (personal loan application form)
46,what is No. of units acquired in single residential housing project/co-operative residential complex (Home loan application form)
47,what is Power of attorney (Home loan application form)
48,what is IFSC CODE (Home loan application form)
49,what is HFC/FI in Takeover of Home Loans from other Banks / HFCs/FIs (Home loan application form)
50,what is RERA (Home loan application form)
51,what is sale transaction category normal sale/ POA Sale/ Gift deed/ thru 3rd party guarantor (Home loan application form)
52,what is collateral type term deposit/ NSC/KVP / Govt. promissory Note / Immovable property / Third party guarantee (Home loan application form)
53,Can savings for a minor be withdrawn (SSA Account Withdrawal)
54,What things need to be ensured when withdrawing savings for a minor (SSA Account Withdrawal)
55,Will I need a SB account to withdraw the savings (SSA Account Withdrawal)
56,What options do I have to withdraw my savings to (SSA Account Withdrawal)
57,What is a demand draft (SSA Account Withdrawal)
58,Maximum withdrawal account is (SSA Account Withdrawal)
59,what are the rules for premature withdrawal (SSA Account Withdrawal)
60,Can I withdraw the savings after death of the minor (SSA Account Withdrawal)
61,Whether NRI can be made nominee? (SSA Account Withdrawal)
62,Whether Guardian can be changed in case of account of minor or person of unsound mind? (SSA Account Withdrawal)
63,What options do I have to withdraw my savings to (SSA Account Premature Closure)
64,When will the account be close on premature death (SSA Account Premature Closure)
65,Till when will I get the interest on the amount and what will happen to the amount on premature death (SSA Account Premature Closure)
66,What about the interest on the amount fro the date of death and the date of closure of account (SSA Account Premature Closure)
67,What happens to the account in case of life threating disease to the the account holder (SSA Account Premature Closure)
68,What is CBS (SSA Account Premature Closure)
69,What happens when the account holder become a non-resident of India (SSA Account Premature Closure)
70,what is the Power to relax (SSA Account Premature Closure)
71,Who will sanction the premature closure (SSA Account Premature Closure)
72,What are the qualifications for openeing the account (SSA Application for opening an account)
73,where to open the account (SSA Application for opening an account)
74,What is the interest rate I can expect (SSA Application for opening an account)
