Category (Health/Education etc),Name of Department/Agency which manages this scheme,Name,Eligibility,Benificiary,Required documents,Mode of application (Online/Offline),"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)",Offering,Level (Central/State/District/Block),Online availability (Yes/No),Common/Uncommon,Govt/Semi govt.,Hard copy form necessity (Yes/No),What is the soure of this information?,Required Form(Online/Offline),Application site link
Health,BBMP Health Department (Statistical Section),Application for Birth Certificate,"Eligibility for Form F-110/I-110 is restricted to the individual (adult), their parents, or the authorized head of household/medical officer who registered the birth.",The child named on the record and their parents or legal guardians are the primary beneficiaries of this application.,"To file Form F-110, you need the hospital birth report, parents' ID cards (Aadhaar/Voter ID), and address proof of the residence.",Online & Offline,"Apply online via the Seva Sindhu portal or eJanMa, or offline by submitting Form F-110 with a hospital discharge summary at a BBMP Ward Office or BangaloreOne center.","The form provides an official Birth Certificate, serving as legal proof of identity for school admissions, passports, government schemes, and inheritance rights.",State Level,Yes,Common,Govt,No,https://sevasindhu.karnataka.gov.in/ & https://ejanma.karnataka.gov.in/,Online & Offline ,https://ejanma.karnataka.gov.in/Documents/Forms/1_Birth%20Report%20Form-1.pdf
Vital Statistics / Civil Registration,"Planning, Programme Monitoring, and Statistics Department",Child Adoption Form,Eligibility is restricted to legally adoptive parents or authorized agencies possessing a valid court adoption order or a registered adoption deed.,"The beneficiaries are the adopted child, who receives a legal birth certificate with their new identity, and the adoptive parents, who gain official recognition of their parental rights.","You must register on the CARA portal with identity, address, income, and medical proofs, as private adoptions are illegal.",Online,Register online via the CARINGS Portal by filling out Schedule VI and uploading mandatory documents; no offline registration is permitted.,"Offers full legal parental rights, a new birth certificate, 12–26 weeks of paid adoption leave, and access to transparent medical and background reports of the child.",Central ,Yes,Common,Govt,Yes,https://cara.wcd.gov.in/,Online ,https://ejanma.karnataka.gov.in/Documents/Forms/1_Child%20Adoption%20Form-1A.pdf
Vital Statistics / Civil Registration,"Planning, Programme Monitoring and Statistics Department",Death Report Form,"Eligibility is restricted to the head of the household, the nearest relative present at the time of death, or the medical officer in charge if the death occurred in a hospital","The beneficiaries are the legal heirs and immediate family members who use the certificate for insurance claims, bank settlements, and property transfers.","Medical Certificate of Cause of Death, the Deceased’s ID (Aadhaar/Voter ID), the informant's ID, and the cremation/burial receipt.",Offline ,Register online via eJanMa through the hospital or offline by submitting Form No. 2 with a cremation receipt at the BBMP Ward Office or Village Accountant.,"It provides an official Death Certificate required for insurance claims, settling property inheritance, closing bank accounts, and claiming family pensions.",State Level,Yes,Common,Govt,Yes,https://ejanma.karnataka.gov.in/ & https://sevasindhu.karnataka.gov.in/,Online & Offline ,https://ejanma.karnataka.gov.in/Documents/Forms/2_Death%20Report%20Form-2.pdf
Vital Statistics / Civil Registration,"Planning, Programme Monitoring, and Statistics Department",Still Birth Report Form,Eligibility is restricted to the Medical Officer for hospital occurrences or the head of the household (or nearest relative) for home deliveries.,"The parents or legal guardians are the beneficiaries, using the record for legal closure, maternity benefits, or government insurance claims.","To file Form No. 3, you need the Still Birth Certificate (from a doctor/hospital), parents' ID cards (Aadhaar/Voter ID), and address proof.",Online & Offline,Register online via eJanMa through the hospital or offline by submitting Form No. 3 with a medical certificate at a BBMP Ward Office or Village Accountant.,"The offering is an official Still Birth Certificate, which provides legal documentation of the event, allows for maternity leave/benefits, and completes government vital records.",State Level,Yes,Common,Govt,No,https://ejanma.karnataka.gov.in   & https://sevasindhu.karnataka.gov.in/,Online & Offline ,https://ejanma.karnataka.gov.in/Documents/Forms/3_Still%20Birth%20Form-3.pdf
Health and Vital Statistics,Department of Health and Family Welfare,Medical Certificate of Cause of Death (Institutional),Eligibility for Form No. 4 is strictly limited to the attending Medical Practitioner or the Institutional In-charge who treated the deceased at the hospital.,"The legal heirs and immediate family members are the beneficiaries, as this certificate is the mandatory prerequisite for obtaining an official Death Certificate.","To obtain Form No. 4, you need the hospital admission records, the deceased's ID (Aadhaar/Voter ID), and the informant's ID.",Offline ,The hospital registers the medical cause online via eJanMa or issues a signed physical Form 4 to the family for submission at the BBMP Ward Office,"The offering is the Medical Certificate of Cause of Death (MCCD), which serves as the mandatory legal proof required to generate a Death Certificate and settle life insurance claims.",State Level,Yes,Common ,Govt,No,https://ejanma.karnataka.gov.in/ & https://sevasindhu.karnataka.gov.in/,Online & Offline ,https://karnataka.census.gov.in/MCCD/1.Form%204%20Institutional%20Death-kannada.pdf
Health and Vital Statistics,"Planning, Programme Monitoring and Statistics Department ",Medical Certificate of Cause of Death (Non-Institutional),Eligibility for Form 4A is restricted to the Registered Medical Practitioner (RMP) who attended to the deceased during their last illness at home.,"The legal heirs and immediate family members are the beneficiaries, as this certificate is the mandatory legal proof required to obtain an official Death Certificate for home deaths.","To file Form 4A, you need the deceased's ID (Aadhaar/Voter ID), medical history/treatment records, and the doctor’s registration certificate number",Offline ,Submit the signed Form 4A from the attending doctor along with Form 2 and the cremation receipt to your local BBMP Ward Office or Village Accountant.,"The offering is an official Medical Certificate of Cause of Death (Non-Institutional), which is the mandatory legal prerequisite to register a home death and obtain a Death Certificate",State Level,Yes,Common ,Govt,Yes,https://ejanma.karnataka.gov.inn & https://sevasindhu.karnataka.gov.in/ & https://karnataka.census.gov.in/mccdinformation.php,Offline,https://karnataka.census.gov.in/MCCD/2.Form-4A%20Non-Institutional%20Death-kannada.pdf
Revenue and Registration, Department of Stamps and Registration,Form 1: Memorandum of Marriage (Registration).,"The eligibility for Form 1 requires the groom to be 21+, the bride 18+, both to be Hindus/Sikhs/Jains/Buddhists, and the marriage to have been already solemnised within the registrar's jurisdiction.","The beneficiaries are the husband and wife, who receive legal recognition of their marriage for securing passports, visas, inheritance rights, and joint financial benefits.","Required documents include Age Proof (Birth Certificate/SSLC), Address Proof (Aadhaar/Voter ID), Marriage Proof (Invitation Card/Photos), and ID Proofs for three witnesses.",Online & Offline,"Register online via the Kaveri 2.0 portal, upload documents, pay fees, then personally visit the Sub-Registrar's Office with witnesses for final verification and signatures.","The offerings include official legal status, a government marriage certificate, and the ability to update passports, visas, bank accounts, and inheritance records.",State Level,No,Common,Govt,Yes,http://kaveri.karnataka.gov.in/,Offline ,obtain a physical copy of Form 1 (Memorandum of Marriage) in Kannada directly from local Sub-Registrar’s Office
Transport and Communication,"Transport Department, Government of Karnataka",Application for the Grant of Learner’s Licence,"Eligibility requires being 16+ years (non-gear) or 18+ years (gear/LMV), passing a traffic rules test, and providing age and address proof.",The beneficiary is any eligible individual seeking legal authorization to learn how to drive a motor vehicle on public roads under supervision.,"Required documents include Age Proof (Aadhaar/SSLC), Address Proof (Voter ID/Passport), Medical Fitness Form (1/1A), and Passport-size photographs.",Online & Offline,"Apply online via the Parivahan Sarathi Portal using Aadhaar for a faceless process, or book an RTO appointment for physical document verification and a computer-based traffic rules test","The primary offering of Form 2 (CMV-2) is the legal permit to practice driving on public roads for 6 months, which is a mandatory prerequisite for obtaining a permanent Driving Licence.",State Level,Yes,Common ,Govt,No,transport.karnataka.gov.in & sarathi.parivahan.gov.in,Online & Offline,https://transport.karnataka.gov.in/storage/pdf-files/Forms%20related%20to%20driving%20license%20in%20Kannada/CMV%202.pdf
Identity and Civil Documentation.,Unique Identification Authority of India (UIDAI),Aadhaar Enrolment/Update Form (5 to 18 years),"Eligibility for Form 3 includes any resident or NRI child between the ages of 5 and 18 years who needs a new Aadhaar or a mandatory biometric update.",The beneficiary is any resident or NRI child between the ages of 5 and 18 years who requires a new Aadhaar enrollment or a mandatory biometric update.,"To apply using Form 3, you need the child's Birth Certificate, a School ID/Certificate, and the parent's Aadhaar for address and relationship proof.",Offline ,"Visit an Aadhaar Seva Kendra with the child, submit the filled Form 3 with a Birth Certificate and School ID, and complete the biometric capture.","For children aged 5 to 18, Form 3 provides a legal identity (Aadhaar number), a digital identity card, and mandatory biometric updates (at ages 5 and 15) required to keep the ID active.",Central ,No,Common ,Govt,Yes,"The information is sourced directly from the Unique Identification Authority of India (UIDAI), the statutory authority under the Ministry of Electronics and Information Technology (MeitY)",Online & Offline,https://drive.google.com/file/d/1gxu21n6qgzvryEqmd0mvEPWq54j828l0/view?usp=sharing
Health,Suvarna Arogya Suraksha Trust (SAST),Annexure-1 (Form-A): Beneficiary Enrollment Form,"Active Karnataka State Government employees (HRMS-enrolled) and their dependent family members are eligible, excluding police and judicial officers covered by other schemes.","Active Karnataka State Government employees and their dependent spouse, parents, and unmarried children (sons up to 30 years) are the beneficiaries.","Submit the Aadhaar cards of the employee and dependents, HRMS/KGID details, and an income certificate for parents (if applicable).",Online & Offline,"Register on the KASS Mobile App or HRMS portal, then submit the signed, printed Form A in duplicate to your DDO.","The scheme offers cashless medical treatment for listed procedures at empanelled hospitals, covering the employee and their eligible dependents for both planned and emergency care.",State Level,Yes,Common ,Govt,Yes,https://sast.karnataka.gov.in/sast/English/ & https://kass.karnataka.gov.in/en,Online & Offline,https://drive.google.com/file/d/1klUEDlPtPdJ4KbDK_A6vH8FUEgX1OxKC/view?usp=sharing
Economic Empowerment / Livelihood Support.,Ministry of Housing and Urban Affairs (MoHUA),Annexure 1A (Common Loan Application Form,"Street vendors (urban/peri-urban/rural) who were vending on or before March 24, 2020, and possess a Certificate of Vending (CoV) or Letter of Recommendation ","Individual Street Vendors (including those selling vegetables, fruits, ready-to-eat street food, tea, bread, eggs, apparel, artisan products, etc.)","You need your Aadhaar Card, Vending Certificate (CoV/ID/LoR), and an Aadhaar-linked Bank Passbook.",Online & Offline,"Register on the PM SVANidhi portal with an Aadhaar-OTP, fill Annexure 1A with vending details, and choose your preferred lending bank.","A collateral-free working capital loan of ₹10,000 (1st tranche), ₹20,000 (2nd), and ₹50,000 (3rd), with a 7% interest subsidy for timely repayment.",Central ,Yes,Common ,Govt,No,https://pmsvanidhi.mohua.gov.in/,Online & Offline,https://drive.google.com/file/d/15ji5069m_caNQSjLgn3egbiCrBsCbzjJ/view?usp=sharing
Health / Medical Insurance, Department of Health and Family Welfare,"Name of the Scheme: Karnataka Arogya Sanjeevini Scheme (KASS)
Name of the Form: Appendix-1 Form A (Beneficiary Enrollment Form)",Active Karnataka State Government employees (HRMS-enrolled) and their dependent family members (excluding Police and Judicial officers covered by separate schemes).,"The Government Employee, their Spouse, Parents (income < ₹17,000/month), and unmarried children (sons up to 30 years).","Aadhaar cards for all members, KGID/HRMS ID, Passport photos, and an Income Certificate for dependent parents",Online & Offline,"Register dependents on the KASS App/HRMS, print the generated Form A, and submit it in duplicate to your DDO",Cashless medical treatment in empanelled private and government hospitals for the employee and their entire family.,State Level,Yes,Common ,Govt,Yes,https://kass.karnataka.gov.in/42/beneficiary-enrolment/en,Online & Offline,https://drive.google.com/file/d/1Rlw1InIfO08nN4YjSbTWsm0v-nwGtmyx/view?usp=sharing
Banking / Financial Services.,Department of Posts (DoP),"Name of the Scheme: Post Office Savings Account (POSA)
Name of the Form: Form SB-AOF (Account Opening Form) or Form SB-3","Any Indian citizen (individual, joint, or on behalf of a minor above 10 years)",Individuals (Single or Joint accounts) and Minors," Duly filled Application Form, KYC form, Aadhaar card, PAN card, and two passport-sized photographs",Online & Offline,"Visit the nearest Post Office, submit the Account Opening Form and KYC documents, and make a minimum initial deposit of ₹500.","A secure savings account with a 4% annual interest rate, ATM card facility, and cheque book.",Central ,No,Common ,Govt,Yes,India Post official website and National Savings Institute,Online & Offline,https://drive.google.com/file/d/19kqPyIefbQ9l_T8y4kilcUs9EYoWQxh4/view?usp=sharing
Land Revenue / Real Estate.,Revenue Department,Bhoomi Online / Kaveri 2.0," Any owner or occupant of land held for agricultural purposes who wishes to use it for non-agricultural purposes (residential, commercial, industrial, etc.).",Landowners seeking legal permission for land-use diversion.,"RTC (Record of Rights), Title Deed, Revenue Survey Map, Atlas of the land, and Nil Encumbrance Certificate.",Online," Submit an affidavit and application via the Bhoomi portal, pay the prescribed conversion fine, and obtain the conversion order from the Deputy Commissioner."," Legal authorization to convert agricultural land for non-agricultural use, often with deemed approval if not processed within 30–45 days under recent 2022/2023 amendments",State Level,Yes,Common ,Govt,No,http://www.dtcp.gov.in/en/conversion-of-land,,https://cdn.s3waas.gov.in/s33621f1454cacf995530ea53652ddf8fb/uploads/2020/12/2020122845.pdf
