Name of Department/Agency which manages this scheme,Name,Eligibility,Benificiary,Required documents,Mode of application (Online/Offline),"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)",Offering,Level (Central/State/District/Block),Online availability (Yes/No),Common/Uncommon,Govt/Semi govt.,Hard copy form necessity (Yes/No),What is the soure of this information?,Required Form(Online/Offline),Application site link
State Bank of India (SBI),Account Opening Form-Resident Individual,"Any Resident Indian (Individual, Joint, or Minor) with valid identity and address proof.","Individual citizens, minors, or joint holders wishing to save money and access banking facilities.","Individual citizens, minors, or joint holders wishing to save money and access banking facilities.",Hybrid,Fill out the Kannada Account Opening Form and submit it with your KYC documents to the nearest SBI branch for verification.,"A secure savings or current account with access to ATM/Debit Card, Cheque book, Internet Banking, and Mobile Banking.",Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Account+Opening+Form-Resident+Individual-English+%281%29.pdf/2748b138-ec36-a969-fd2e-59d512605810?t=1763121062159
State Bank of India (SBI),Customer Request Form,"All existing SBI account holders (Individuals, Joint, or Minor) in Karnataka.",The Account Holder seeking to update records or request new banking facilities.,"Account Number, Self-attested KYC (Aadhaar/PAN), and the original Passbook.",Hybrid,"Tick the required service on the Kannada Customer Request Form, sign it, and submit it to your Home Branch with ID proof.","A single window for multiple requests: Nomination, Re-KYC, Cheque Book, Account Closure, Aadhaar/DBT Consent, and Locker Application.",Central ,Yes,Common,Govt,Yes,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Customer+Request+Form-English.pdf/073e1162-e578-b106-eba6-d8145997ece3?t=1763105099808
State Bank of India (SBI),Deposit Slip,"Anyone wishing to deposit money into an SBI Savings, Current, Loan, or PPF account.",The Account Holder receiving the funds.,"Account Number, Branch Name, Amount, and PAN Card (mandatory for cash deposits of ₹50,000 and above).",Hybrid,Fill out the Pay-in-Slip at the counter or generate a QR Cash code on the YONO App to deposit at a CDM (Cash Deposit Machine).,A standard method to credit Cash or Cheques into a bank account with a stamped acknowledgment as proof of transaction.,Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Deposit+Slip-English+%281%29.pdf/f17f42ac-c4c1-2ddc-4e48-4ade8edc800d?t=1763121707252
State Bank of India (SBI),Withdrawal Slip,Savings Account holders who do not have (or do not wish to use) a cheque book or ATM card for that specific transaction.,The Account Holder (self-withdrawal only; withdrawal slips are generally not for third-party payments).,"Original Passbook (mandatory), Account Number, and Identity Proof (if requested).",Hybrid,Fill the Withdrawal Slip and present it along with your Savings Bank Passbook to the teller at your home or nearby branch.,A simple way to withdraw cash from your own account at a bank counter without using a cheque.,Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Withdrawal+Slip-English+%281%29.pdf/4abf5fdb-e430-90c8-0c00-ef1b4c9b799f?t=1763121433129
State Bank of India (SBI),Agriculture Loan Application Form,"Individual farmers (owner cultivators, tenant farmers, oral lessees, or sharecroppers) and Agri-entrepreneurs.","Farmers engaged in crop cultivation, allied activities (dairy, poultry, fisheries), or those needing investment credit for farm machinery.","ID Proof (Aadhaar/PAN), Address Proof, Land ownership/Lease records, and Cropping pattern details.",Hybrid,"Fill the individual application form (AG-LAF-IND), attach land records, and submit it to the Rural/Semi-urban branch for technical appraisal.","Financial support for short-term crop production (KCC), allied activities, farm mechanization (tractors/harvesters), and land development.",Central ,Yes,Common,Govt,Yes,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Agriculture+Loan+Application+Form-English.pdf/1f8c8ddc-f26d-8dd0-5060-61dfc7a5dca4?t=1763105954142
State Bank of India (SBI),PM Svanidhi Loan Application Form,"Street vendors in urban, peri-urban, or rural areas active on or before March 24, 2020, with a Certificate of Vending (CoV) or Letter of Recommendation (LoR).","Individual Street Vendors (selling items like vegetables, fruits, street food, tea, apparel, or artisan products).","Aadhaar Card, Vending Certificate (CoV/ID/LoR), and an Aadhaar-linked Bank Passbook.",Hybrid,"Register with an Aadhaar-OTP, fill the application with your Survey Reference Number (SRN) or LoR, and choose a preferred lender for disbursement.","Collateral-free working capital loans of ₹15,000 (1st loan), ₹25,000 (2nd), and ₹50,000 (3rd) with a 7% interest subsidy and cashback for digital transactions.",Central ,Yes,Common ,Govt,No (for digital applications); Yes (if applying manually at a bank branch).,Ministry of Housing and Urban Affairs (MoHUA) and PM SVANidhi Official Portal,Online,https://sbi.bank.in/documents/53471/263971/PM+Svanidhi+Loan+Application+Form+English.pdf/c57e7f5c-ac69-b980-2966-82b11db8f65c?t=1763106348412
State Bank of India (SBI),PMMY Loan Application Form,"Small business owners, proprietors, or partners in non-farm, non-corporate micro-enterprises (manufacturing, trading, or services).","Micro-entrepreneurs needing capital for business start-up, equipment purchase, or working capital.","ID Proof (Aadhaar/Voter ID), Address Proof, PAN Card, Business Address Proof (Udyam), and Past 6 months' bank statements.",Hybrid,"Fill out the provided PDF form with your business details and project report, then submit it to an SBI branch for appraisal.","Collateral-free loans in three categories: Shishu (up to ₹50,000), Kishore (₹50,001 to ₹5 Lakh), and Tarun (₹5,00,001 to ₹10 Lakh).",Central ,Yes,Common,Govt,No (for digital Shishu loans); Yes (for Kishore and Tarun categories requiring detailed documentation).,MUDRA (Micro Units Development & Refinance Agency Ltd.) and State Bank of India (SBI).,Online,https://sbi.bank.in/documents/53471/263971/PMMY+Loan+Application+Form+English.pdf/a92eb1bb-285a-56d3-503c-bbead0dfb6dd?t=1763106518884
State Bank of India (SBI),Public Provident Fund Account Closure Form,PPF account holders who have reached the 15-year maturity period or meet specific premature closure grounds (medical/higher education after 5 years).,The Subscriber (or the nominee/legal heir in case of the subscriber's death) seeking to withdraw the accumulated corpus.,"Original PPF Passbook, KYC Proof (Aadhaar/PAN), and a Cancelled Cheque of the target savings account.",Hybrid,Submit the provided PDF form and your original passbook to the branch manager for processing and payment.,Full disbursement of the principal amount plus tax-free interest accumulated over the entire tenure of the account.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/263971/Public+Provident+Fund+Account+Closure+Form-English.pdf/d2d8c509-1e00-f68e-183d-4a8398f6766b?t=1765171976057
State Bank of India (SBI),Public Provident Fund Account Deposit Slip,Existing PPF account holders (or parents/guardians depositing on behalf of a minor) making an annual contribution.,The Subscriber (the individual whose name is on the PPF account).,"PPF Account Number, Branch Name, and Cash/Cheque for the deposit.",Hybrid ,Fill out the Kannada Deposit Slip with your account details and deposit the cash/cheque at the bank counter to receive a stamped acknowledgment.,"A secure method to credit funds into a long-term, tax-free savings account that earns guaranteed government-backed interest.",Central ,Yes,Common ,Govt,No,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/Public+Provident+Fund+Account+Deposit+Slip-English.pdf/df098b1b-bd03-1b0f-7536-4ddd7184e3db?t=1765172296984
State Bank of India (SBI),Public Provident Fund Account Extension Form,PPF account holders who have completed the initial 15-year maturity period and wish to continue the account.,The Subscriber seeking to continue earning tax-free interest and potentially making further deposits after maturity.,"PPF Passbook, ID Proof (Aadhaar/PAN), and the filled Form H.",Offline ,Submit the provided PDF form at your home branch within one year of the account's maturity date.,"Extension of the account in blocks of 5 years with two options: ""With further deposits"" (to keep saving) or ""Without further deposits"" (to just earn interest).",Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/Public+Provident+Fund+Account+Extension+Form-English.pdf/96eaf920-b2e6-2a0b-5983-e4d9c74bb1d2?t=1765172729880
State Bank of India (SBI),Public Provident Fund Account Nomination Form,Individual PPF account holders wishing to designate one or more persons to receive funds in the event of their death.,The Nominee(s) (the person(s) who will receive the balance amount in the PPF account upon the subscriber's demise).,"PPF Passbook, Nominee's Name, Address & Age, and Witness Signatures (for physical submission).",Offline ,Fill out the provided PDF form and submit it along with your original passbook to the branch for recording and stamping.,"Ensures a hassle-free transfer of accumulated tax-free savings to the chosen successor, bypassing the need for a succession certificate.",Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/263971/Public+Provident+Fund+Account+Nomination+Form-English.pdf/3c5e223f-476d-f52f-b5be-cf3a65267616?t=1765173129132
State Bank of India (SBI),Public Provident Fund Account Opening Form,"Any Resident Indian individual (Single, or on behalf of a Minor/Person of unsound mind).",The Individual Subscriber (for long-term wealth creation and tax saving).,"Aadhaar Card, PAN Card, Passport-sized photographs, and Nomination details.",Hybrid,Submit the provided PDF form along with KYC documents and the initial deposit (minimum ₹500) to an SBI branch.,A 15-year government-backed savings scheme with guaranteed tax-free interest and deductions under Section 80C.,Central ,Yes,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/Public+Provident+Fund+Account+Opening+Form-English.pdf/1cac84fe-cb12-e014-9a1c-3469cc8061c3?t=1765173217423
State Bank of India (SBI),SCSS Account Closure Form,SCSS account holders who have reached the 5-year maturity period or meet specific premature closure conditions (subject to penalties).,The Senior Citizen Subscriber (or the nominee/legal heir in case of the subscriber's death) seeking to withdraw the principal and interest.,"Original SCSS Passbook, KYC Proof (Aadhaar/PAN), and a Cancelled Cheque for the credit of funds.",Offline ,Submit the provided PDF form along with your original passbook to the branch manager for processing and payment.,Full disbursement of the principal amount and any outstanding interest earned through the government-backed savings scheme.,Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SCSS+Account+Closure+Form-English.pdf/cfd7fe4b-0a88-cc06-f05a-b951e88a0689?t=1765174266403
