Name of Department/Agency which manages this scheme,Name,Eligibility,Benificiary,Required documents,Mode of application (Online/Offline),"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)",Offering,Level (Central/State/District/Block),Online availability (Yes/No),Common/Uncommon,Govt/Semi govt.,Hard copy form necessity (Yes/No),What is the soure of this information?,Required Form(Online/Offline),Application site link
ENGLISH SBI FORMS,,,,,,,,,,,,,,,
State Bank of India (SBI),Internet Banking Form,Individuals with a Savings or Current account at any SBI branch,"Single or Joint account holders (E or S, F or S, etc.)","Account Number, CIF Number, Branch Code, and Registered Mobile Number",Hybrid,"Fill the SBI Registration Form and submit it to your branch, or register via the SBI website using your ATM card","24/7 access for fund transfers, bill payments, opening deposits, and viewing statements",Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://drive.google.com/file/d/1-90rtLyhaNuPag4447vAWFDdPITr0vrb/view?usp=sharing
State Bank of India (SBI),Duplicate Login Password Form ,Existing SBI Internet Banking users who have forgotten or lost their login password.,Individual or Corporate SBI account holders.,"Username, Account Number, Country, Registered Mobile Number, and Date of Birth.",Hybrid,"Select ""Forgot Login Password"" on the OnlineSBI portal, verify via OTP/ATM details, or submit the physical request form to your branch.",Recovery of access to the Internet Banking account to resume digital transactions and services.,Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://drive.google.com/file/d/1L0dqzAva9EbmOkOIX0n--kdOKV-3Y2aH/view?usp=sharing
State Bank of India (SBI),Reset Profile Password Form ,Existing SBI Internet Banking users who have forgotten their Profile Password (required for adding beneficiaries/changing limits).,Individual or Corporate SBI account holders.,"Net Banking Username, Registered Mobile Number, and Hint Question/Answer or ATM Card details.",Hybrid,"Log in to OnlineSBI, click ""Forgot Profile Password"" under Profile settings, and reset via Hint Question or ATM/OTP validation.","Recovery of the second-tier security password to manage third-party transfers, beneficiary additions, and profile updates.",Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://drive.google.com/file/d/1niRbODbfvZ056ykHuYxTKfhA_j5HF0gC/view?usp=sharing
State Bank of India (SBI),Reactivate INB User Form ,"Existing SBI users whose internet banking access has been deactivated due to inactivity, multiple wrong password attempts, or voluntary blocking.",Individual or Corporate SBI account holders.,"Internet Banking Username, Account Number, Registered Mobile Number, and ID Proof (if visiting a branch).",Hybrid,"Use the ""Unlock User ID"" link on the OnlineSBI login page or submit a physical Reactivation Letter to your home branch.",Restoration of access to the Internet Banking portal to resume all digital banking transactions.,Central ,Yes,Common ,Govt,No (for simple locks); Yes (for accounts dormant for more than 180 days or manually deactivated).,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://drive.google.com/file/d/1ST6ACP21v4QKpLl-tEuD61DI0dxDFC_m/view?usp=sharing
State Bank of India (SBI),New account opening form," Any Indian Resident (Individual, Joint, or Minor) with valid KYC documents."," Individual citizens, minors, or joint holders","Aadhaar Card, PAN Card, and two recent passport-sized photographs.",Hybrid,"Open a paperless account instantly via the YONO App using Video KYC, or submit the physical Form DA-1 at a branch.","A secure savings account with ATM/Debit Card, Cheque book, Internet Banking, and YONO app access.",Central ,Yes,Common,Govt,No (for Video KYC-based YONO accounts); Yes (for regular branch-based accounts).,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://retail.sbi.bank.in/sbi/downloads/common_deposit_account_opening_form_effective_from_01.11.2023.pdf
"Income Tax Department, Government of India (implemented by State Bank of India).",Form 15H-TDS ,Resident Individuals aged 60 years or older whose tax on estimated total income for the financial year is Nil.,Senior Citizens who want to prevent banks from deducting tax (TDS) on their interest income (FD/RD).,"PAN Card, Fixed Deposit/Account numbers, and details of estimated total income for the year.",Hybrid,Fill out the provided PDF form in duplicate and submit it to your SBI Home Branch at the start of every financial year.,"Zero TDS deduction on interest earned, ensuring the bank credits the full interest amount to your account.",Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://retail.sbi.bank.in/sbi/downloads/form15h.pdf
"Income Tax Department, Government of India (implemented by State Bank of India).",Form 15G-TDS ,Resident Individuals (below 60 years) or HUF/Trusts whose total taxable income for the year is Nil and total interest income is below the basic exemption limit.,Individual taxpayers and HUFs who want to prevent the bank from deducting tax (TDS) on their interest income (FD/RD).,"PAN Card, Fixed Deposit/Account numbers, and details of estimated total income for the financial year.",Hybrid,Fill out the provided PDF form and submit it to your SBI Home Branch or upload it via OnlineSBI at the start of every financial year.,"Exemption from TDS on interest earned, ensuring the bank credits the full interest amount without any tax deduction.",Central ,Yes,Common,Govt,No, State Bank of India (SBI) and the Income Tax Department of India.,Online,https://retail.sbi.bank.in/sbi/downloads/form15-g.pdf
State Bank of India (SBI),FORM-60,,,,,,,Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://drive.google.com/file/d/1fFc1kWqK6l5MudMum4Qv5CY-Vj2FXrBy/view?usp=sharing
State Bank of India (SBI),PPF/Loan A/C(s) Linking Form,"PPF account holders between the 3rd and 6th financial year of the account opening (e.g., if opened in 2021-22, a loan is available from 2023-24 to 2026-27).",Individual PPF subscribers needing short-term liquidity without closing their long-term savings account.,"Duly filled Application Form, PPF Passbook, and Aadhaar/Identity Proof.",Hybrid,Submit the provided PDF form along with your PPF Passbook at your SBI branch for verification and disbursement.,"A loan of up to 25% of the balance held at the end of the second preceding year, at an interest rate 1% higher than the prevailing PPF interest rate.",Central ,No,Common,Govt,Yes,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://retail.sbi.bank.in/sbi/downloads/Link_PPF_LoanAC.pdf
State Bank of India (SBI),Consent Form from Customers for Cross Sell,,,,,,,Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://retail.sbi.bank.in/sbi/downloads/Consent_Form_Final_2607.pdf
